step,sps,policy_loss,value_loss,mi_loss,div_loss,kl_loss,score,mean_return,ego_enc_delta,partner_enc_delta,road_enc_delta,role_std,role_norm
80216064,59417.4,-0.00456,1.839499,0.000416,-0.353516,0.0,0.0994,-5.3613,0.013559,0.006568,0.005397,0.570351,1.262698
81002496,59557.5,-0.004217,1.861878,0.000427,-0.353516,0.0,0.1002,-5.3351,0.036892,0.004618,0.003783,0.479401,1.666013
81788928,59070.8,-0.000835,2.258335,0.000456,-0.410156,0.0,0.101,-5.2961,0.030534,0.01496,0.009682,0.509322,1.462599
82575360,59169.1,0.001005,2.061575,0.000431,-0.425781,0.0,0.1021,-5.2558,0.017028,0.009653,0.007295,0.493422,1.356247
83361792,59318.2,-0.005388,2.056591,0.000423,-0.451172,0.0,0.103,-5.2129,0.007637,0.005612,0.004052,0.529886,1.225213
84148224,59143.6,-0.001014,2.320111,0.000433,-0.408203,0.0,0.1036,-5.1691,0.009452,0.005115,0.00464,0.556964,1.164172
84934656,59276.3,-0.000915,1.9833,0.00041,-0.431641,0.0,0.1038,-5.1376,0.012958,0.012263,0.01094,0.492606,1.414632
85721088,59398.4,-0.002747,2.034662,0.000406,-0.396484,0.0,0.1042,-5.0955,0.010809,0.010429,0.008351,0.473199,1.390585
86507520,59521.7,0.004687,1.82003,0.000431,-0.412109,0.0,0.1048,-5.0596,0.012605,0.01007,0.008221,0.485794,1.410955
87293952,59372.0,-0.010947,1.893416,0.000411,-0.371094,0.0,0.107,-5.0147,0.01144,0.00902,0.006657,0.546129,1.227703
88080384,59498.5,-0.000534,1.662508,0.0004,-0.345703,0.0,0.1101,-4.9697,0.013242,0.010641,0.009492,0.538471,1.244641
88866816,59644.7,-0.004583,1.716283,0.000405,-0.355469,0.0,0.1119,-4.9428,0.008446,0.007821,0.006685,0.442402,1.611773
89653248,59451.9,-0.004051,1.967017,0.000421,-0.345703,0.0,0.1144,-4.9038,0.011894,0.009297,0.006726,0.476864,1.501898
90439680,59579.3,-0.002294,1.696612,0.000452,-0.433594,0.0,0.1145,-4.8711,0.023911,0.014299,0.012583,0.455628,1.378443
91226112,59699.1,-0.003683,1.597919,0.000387,-0.431641,0.0,0.1148,-4.835,0.012343,0.009592,0.008102,0.500607,1.226787
92012544,59819.0,0.005292,1.54601,0.000394,-0.433594,0.0,0.1151,-4.8016,0.005851,0.005501,0.005001,0.571371,1.260056
92798976,59662.0,0.000355,1.820599,0.000401,-0.34375,0.0,0.116,-4.7781,0.016003,0.010194,0.008619,0.499973,1.572874
93585408,59774.6,0.001502,1.740287,0.000398,-0.349609,0.0,0.1185,-4.7254,0.008825,0.008462,0.006738,0.462785,1.486302
94371840,59902.6,0.002268,1.50202,0.000391,-0.365234,0.0,0.1208,-4.6796,0.006761,0.006508,0.004821,0.486278,1.51472
95158272,59601.8,0.006715,1.487645,0.000394,-0.335938,0.0,0.1235,-4.6232,0.011023,0.007298,0.005368,0.543126,1.393704
95944704,59713.2,0.000191,1.492899,0.000386,-0.367188,0.0,0.1233,-4.5809,0.012643,0.008468,0.00885,0.530396,1.301302
96731136,59830.6,-0.000465,1.568208,0.000389,-0.371094,0.0,0.123,-4.5447,0.016099,0.010612,0.008147,0.570146,1.279005
97517568,59948.0,-0.000113,1.541234,0.000407,-0.417969,0.0,0.1228,-4.5231,0.012048,0.009464,0.008484,0.449112,1.48578
98304000,59821.9,0.003306,1.723462,0.000404,-0.439453,0.0,0.1226,-4.4883,0.00745,0.005059,0.004612,0.455235,1.340015
99090432,59944.5,0.002341,1.589604,0.000383,-0.462891,0.0,0.1229,-4.4474,0.006273,0.004626,0.004548,0.45081,1.236451
99876864,60049.4,-0.001328,1.577391,0.000384,-0.480469,0.0,0.1235,-4.4066,0.004315,0.004025,0.004721,0.510598,1.188495
100663296,59968.8,0.001826,1.671531,0.000384,-0.419922,0.0,0.1242,-4.365,0.015004,0.010665,0.008987,0.622554,1.032822
101449728,60080.6,0.001068,1.601262,0.000394,-0.398438,0.0,0.1246,-4.3415,0.014956,0.008271,0.008483,0.453319,1.398299
102236160,60188.7,-0.004835,1.510817,0.000412,-0.474609,0.0,0.1252,-4.3048,0.012812,0.009835,0.011078,0.452826,1.438276
103022592,60297.5,-0.00169,1.419273,0.000394,-0.439453,0.0,0.126,-4.2601,0.009497,0.005657,0.006998,0.488983,1.248393
103809024,60146.3,0.006316,1.574548,0.000397,-0.351562,0.0,0.1264,-4.2233,0.016382,0.011374,0.010952,0.511253,1.196216
104595456,60244.5,0.000907,1.347567,0.000395,-0.349609,0.0,0.1264,-4.1884,0.011556,0.008814,0.011614,0.505357,1.238729
